"","x"
"106","F1T0J1"
"107","P56851"
"108","A8MWQ5"
"109","Q9NQX7"
"110","A0A024R3U6"
"111","P23510"
"112","P18509.2"
"113","A0A024R4I7"
"114","A0A024R579"
"115","P08861"
"116","O75473"
"117","F1D8P8"
"118","Q9UBP9"
"119","Q5JSQ8"
"120","O14668.1"
"121","P20851"
"122","Q5GRG0"
"123","Q99933"
"124","A0A024R1G6"
"125","Q8N264"
"126","B3KUF5"
"127","Q9Y689"
"128","Q8IYS4"
"129","O95644"
"130","P23443"
"131","J3KP39"
"132","Q8NAX2"
"133","Q8N4V1"
"134","P56278.1"
"135","P13224"
"136","Q9BSQ5"
"137","O14497"
"138","Q92833"
"139","A0A024R2C8"
"140","P19224"
"141","Q7Z7B8"
"142","A0A024R3M4"
"143","Q14CZ8"
"144","P10242"
"145","Q5JSS6"
"146","A0A0D9SG71"
"147","Q9H3F6"
"148","B4DF84"
"149","Q8NHP7"
"150","Q6UXN7"
"151","Q5VTT5"
"152","Q14641"
"153","Q8IYJ3"
"154","A0A024R6D7"
"155","Q15223.2"
"156","A0A024R9B3"
"157","Q96MS0"
"158","Q14CS0"
"159","P48775"
"160","A0A024R4Z6"
"161","O43678"
"162","A0A024RC61"
"163","Q5BQA0"
"164","B3KY36"
"165","A1A5B2"
"166","Q8N446"
"167","P18564.2"
"168","Q96DR8"
"169","Q8NHR7"
"170","P54619"
"171","Q96ES7"
"172","Q14469"
"173","P42679"
"174","A0A024R9E1"
"175","Q9UQ74"
"176","A0A024R8P8"
"177","Q8WUR7"
"178","P40259"
"179","Q96KX1"
"180","A0A024QZV9"
"181","P51460"
"182","Q969F0"
"183","A0A024R7I7"
"184","Q8N386.1"
"185","Q4KMG9"
"186","Q549J4"
"187","Q96JK2"
"188","Q8IZ57"
"189","Q75RY1"
"190","O14975"
"191","O95954"
"192","J3KQ52"
"193","Q8TBC4"
"194","O00755"
"195","P51814"
"196","P40967"
"197","Q9NWH9"
"198","Q9H1M4"
"199","Q5T7V8"
"200","A0A087X0J6"
"201","Q16665"
"202","Q9ULZ1"
"203","P14138.1"
"204","Q8TC84"
"205","Q9UBC7"
"206","Q96N03"
"207","G5E9M7"
"208","G0XQ39.1"
"209","Q9NWD9"
"210","Q6IAE6"
"211","Q96ND0"
"212","J3KNJ8"
"213","Q5T1H1"
"214","O14638"
"215","Q7Z692"
"216","P02771"
"217","P52565"
"218","Q9H4M7"
"219","J3KNB3"
"220","Q92478"
"221","Q9NPB0"
"222","O15391"
"223","Q5JS37"
"224","Q99895"
"225","Q9NYM9"
"226","Q07444.1"
"227","Q15555"
"228","Q9BRK3.1"
"229","Q8NC42"
"230","A0A024RBE2"
"231","B6SEH8"
"232","Q15596"
"233","P23327"
"234","J3KPF3"
"235","Q04721.1"
"236","Q14376"
"237","Q13501.1"
"238","O14645"
"239","A0N071"
"240","P01270.1"
"241","O00338"
"242","O60235"
"243","O95229"
"244","B3KY81"
"245","Q6ZN17"
"246","Q1RMZ1"
"247","P23142"
"248","K7ERB6"
"249","Q8N6Q1"
"250","A8MQ07"
"251","A0A0S2Z4V5"
"252","P51813"
"253","Q96FZ7"
"254","Q9NT22.1"
"255","B4DRF3"
"256","Q99062"
"257","Q9BY44"
"258","Q9NPI6"
"259","A0A087WWV9"
"260","P08254"
"261","P10600"
"262","Q14088"
"263","P23510.1"
"264","Q5DT21"
"265","Q8WWF6"
"266","Q9H3M7"
"267","O95786"
"268","P63146"
"269","O95661"
"270","Q14507"
"271","B4DYG2"
"272","Q9Y4C5"
"273","Q15075"
"274","M0QZ22"
"275","O76038"
"276","Q8IZP9"
"277","A0A024R8E4"
"278","Q9UHY1"
"279","P29965"
"280","Q8TCV5"
"281","Q9NYJ7"
"282","Q8N4C9.1"
"283","Q9UM54"
"284","P15085.1"
"285","A0A140VJQ2.1"
"286","F1DSG4"
"287","Q08648"
"288","B7TZ90"
"289","A8K128"
"290","A0A024RBR3"
"291","Q6UVK1"
"292","P53805"
"293","P55283"
"294","Q96SI1"
"295","Q6Q8B3"
"296","P78346"
"297","Q9HCN4"
"298","O75871"
"299","Q9UC07"
"300","B7ZAT8"
"301","A0A024R8G6"
"302","B3KTG0"
"303","J3KPF3.1"
"304","A0A0C4DGW9"
"305","Q96ER9"
"306","Q9ULP9"
"307","Q8WTX7"
"308","Q8N3Z0"
"309","B2RBR3"
"310","A0PJ49.1"
"311","Q9NZV6"
"312","Q6UUV7"
"313","A0A024R5K8"
"314","Q6ICB4"
"315","A8IK34"
"316","A4D1V4"
"317","Q8N539"
"318","A0A140VJW8"
"319","A0A024R4V5"
"320","F1DAL1"
"321","Q5VZV1"
"322","A0A024QYX8.1"
"323","O43567"
"324","Q9UHN6"
"325","Q9ULK6"
"326","Q9UNS1"
"327","Q96DU3"
"328","A0A024RA77"
"329","Q9UKG1"
"330","Q92831"
"331","Q9UI43"
"332","Q96DR5"
"333","A0A024R9U9"
"334","Q9UBL6"
"335","A6NFH5"
"336","Q96IV6"
"337","P06241"
"338","P09016"
"339","D6W5L6"
"340","P22466"
"341","B4E006.1"
"342","O75153"
"343","Q9UBP4.1"
"344","Q8WYK1"
"345","A0A0A0MTC5"
"346","A4D0Z3"
"347","Q8IZF4"
"348","Q8N5I3"
"349","A0A024R9W4"
"350","Q9P0V8"
"351","A0A024RBY9"
"352","P25398"
"353","Q5JUR7"
"354","Q96Q83"
"355","A0A024R870"
"356","A5PLN9"
"357","B3KVS8"
"358","E5KMT6"
"359","P43630"
"360","P60866"
"361","O00482"
"362","P20591"
"363","E9PAJ1"
"364","P01160"
"365","Q9ULV1"
"366","Q9GZZ9"
"367","Q01151"
"368","O75381.1"
"369","A0A024R9G7"
"370","Q9Y5G3"
"371","Q15493"
"372","O14950"
"373","O43704"
"374","A0A024R3T8"
"375","O75191"
"376","Q9NR48"
"377","Q9Y661.1"
"378","C9JTQ0"
"379","A0A024R052.1"
"380","Q9H2J9"
"381","A8K287"
"382","A0A140VJN7"
"383","P0C0S5"
"384","Q9Y6F8"
"385","B3KRP6"
"386","Q6ICB0"
"387","P63167"
"388","Q15646"
"389","Q9UNE7"
"390","Q99697"
"391","A0PJ49"
"392","P0CG47.2"
"393","Q9NPB1"
"394","D4HNR6"
"395","O00515"
"396","A0N0L5.1"
"397","P51815"
"398","Q01484"
"399","A0A024R045"
"400","Q8N987"
"401","Q8TAA9"
"402","A0A087X0T5"
"403","E9KL30"
"404","P51161"
"405","I6L9I3"
"406","A0A024R642"
"407","A0A024QZQ6"
"408","P60880"
"409","A0A024R0V3"
"410","A4D1T9"
"411","P56270"
"412","P52298"
"413","Q9UBB4"
"414","Q2TBF2"
"415","Q8N807"
"416","O75822"
"417","Q6P1Q9"
"418","Q86VR7"
"419","Q8N752"
"420","B7ZBB8"
"421","P30532"
"422","A0A1U9X8K0"
"423","O15151"
"424","A0A087WW00"
"425","P53567"
"426","P84022"
"427","A0A024R7U7"
"428","Q2WEN9"
"429","Q9H765"
"430","I3WAC9"
"431","Q8N8U2"
"432","Q8N104"
"433","A0A0U5J797"
"434","A0A024R1I7"
"435","A0A024R0M6"
"436","A0A0S2Z4E1"
"437","Q9NQT5"
"438","P55058.1"
"439","O95295"
"440","A0ZT99"
"441","O75818"
"442","A0A024R0Z3"
"443","E5KTM5"
"444","B4E0V9"
"445","O15296"
"446","Q8IVF5"
"447","P01375"
"448","Q9UMS0"
"449","P49802"
"450","P61952"
"451","P62330"
"452","O95475"
"453","O94768.1"
"454","Q7Z7H8"
"455","A0A0S2Z4V1"
"456","P01584"
"457","F5GZS7"
"458","Q14108"
"459","P22607"
"460","Q9BQI7"
"461","Q8IUB5"
"462","A0A024R440"
"463","Q9BV20"
"464","P46734"
"465","Q8NFT8"
"466","Q9Y4Z2"
"467","O14944"
"468","P12645"
"469","A0A0S2Z5F2"
"470","Q6UXH0"
"471","Q8NEJ9"
"472","Q96IW2"
"473","P0DJ93"
"474","P24539"
"475","P98173"
"476","Q9Y6U7.1"
"477","Q02045"
"478","Q9Y624"
"479","Q9NSI8"
"480","P56134"
"481","Q32MC1"
"482","O95157"
"483","Q6ZT31.1"
"484","A0A024RAQ8"
"485","P48730"
"486","P31943"
"487","Q155Q3"
"488","O95721"
"489","O14732"
"490","P50221"
"491","Q8N7W7"
"492","Q99418"
"493","P00995"
"494","B3KMW8"
"495","Q9Y266"
"496","Q9BQT9"
"497","Q9BV47"
"498","O00213"
"499","Q68D85"
"500","Q8TD06.1"
"501","O76087"
"502","P09913"
"503","A0A024QZF6"
"504","P29474"
"505","Q16637"
"506","A0A024R6Q4"
"507","A0A087WZT3"
"508","A8K3T7"
"509","Q16612"
"510","Q9NRA1.1"
"511","Q01658"
"512","B2RMR2"
"513","Q9NSB8"
"514","O75715"
"515","P25685"
"516","P55081"
"517","Q6P9H5"
"518","Q09028"
"519","B1A4G6"
"520","Q96SL4"
"521","Q8WXA2"
"522","H9KV56"
"523","O00541"
"524","Q13162"
"525","P78537"
"526","P10636"
"527","A0A140VJU6"
"528","A0A024R6Z5"
"529","Q05048"
"530","P49767"
"531","O00287"
"532","P24001"
"533","Q8NDV2"
"534","Q16849"
"535","H0YMD5.1"
"536","Q86VW2"
"537","O15068"
"538","Q5J5C9"
"539","Q00341"
"540","O15173.1"
"541","P04085"
"542","A0A0C4DGA2"
"543","Q96C12.1"
"544","Q9UJ83"
"545","P09132"
"546","B4DKH4"
"547","O95352"
"548","A0A0S2Z4W2"
"549","Q5HYE3"
"550","Q9P2G3"
"551","Q9Y5J3.1"
"552","P52741"
"553","J3KQ34"
"554","A8K1K8"
"555","A0A0S2Z6V5"
"556","Q6PID6"
"557","Q9GZX6"
"558","P31321"
"559","B3KR55"
"560","O75594"
"561","A1L188"
"562","A0A024R184"
"563","O15488"
"564","E5KPN1"
"565","Q9H900"
"566","A0A140VJR6"
"567","Q9UBL3"
"568","Q15366"
"569","P06126"
"570","P23229.1"
"571","P13611"
"572","A0A087WZT4"
"573","Q5DID0"
"574","Q8N6N2"
"575","P15056"
"576","Q8TAD4"
"577","A0A0S2Z4I4.1"
"578","P20719"
"579","Q9UMR7"
"580","F6WF08"
"581","Q7Z2W9"
"582","Q86SE5"
"583","A0A0A0MSN7"
"584","P61371"
"585","Q92520"
"586","O95363"
"587","Q9BX68"
"588","Q96AT9"
"589","B5MCX1.1"
"590","O95249"
"591","Q99523"
"592","P21506"
"593","Q9NS28"
"594","Q86Z23"
"595","Q63HP7"
"596","P26440"
"597","P30046"
"598","P46439"
"599","A8K3F7"
"600","G3XAM7"
"601","B2R8J1"
"602","A0A024R2W3"
"603","P0C7L1"
"604","Q6MZP1.1"
"605","Q7Z699"
"606","J3KQ48"
"607","Q9BTM9"
"608","Q5JQI0.1"
"609","O75897"
"610","A0A024RBQ4"
"611","P21549"
"612","Q9BUP3"
"613","Q8NBK3"
"614","Q14781"
"615","P04054"
"616","A0A024R4X4"
"617","C9IY40"
"618","P21854.1"
"619","P48739"
"620","A0A024R4A4"
"621","Q8NEF9"
"622","O60575"
"623","B4DMZ3"
"624","Q13123"
"625","Q8IV20"
"626","O60496"
"627","P01133"
"628","A0A024R5D2"
"629","P41134"
"630","Q14289.1"
"631","P61019.1"
"632","Q15438"
"633","Q5VWC4"
"634","Q96P66"
"635","P12104"
"636","Q8N371"
"637","P53778"
"638","Q9HC23"
"639","Q9NRG4"
"640","O00233"
"641","Q86VK4"
"642","Q9Y2Z4"
"643","Q5TZC3"
"644","B4DXW2"
"645","Q9P031"
"646","P28223"
"647","A8K2U0"
"648","O95255"
"649","Q9H5V8.2"
"650","Q08495"
"651","K7ES52"
"652","G3V364"
"653","A0A0S2Z428"
"654","P16871"
"655","A0A024R1A7"
"656","Q0D2K3"
"657","P32004"
"658","P56937.1"
"659","Q8WWH5"
"660","Q5TI65"
"661","O60218"
"662","Q8TAF3.2"
"663","A0A0S2Z4Z8"
"664","P34820"
"665","Q8IV36"
"666","P36551"
"667","Q6UXX9"
"668","Q6ZVM7"
"669","A0A024R4A2.1"
"670","A0A024R5U5"
"671","Q86SG7"
"672","P20337"
"673","A0A024R3K1"
"674","Q9NTX5"
"675","Q9UL19"
"676","Q9NX94"
"677","A0AV47"
"678","Q9GZV4"
"679","Q96L46"
"680","Q12988"
"681","Q08AM6"
"682","Q9BSI4"
"683","Q13188"
"684","A0A0C4DG42"
"685","Q9BYV6"
"686","A0A024RC18"
"687","P28698"
"688","Q92796"
"689","A0A024RD93"
"690","A0A087WVK1"
"691","P50222"
"692","A0A024R294"
"693","P35080.1"
"694","Q14155"
"695","Q504Y2"
"696","Q4W5N8"
"697","B3KTF6"
"698","Q92541"
"699","P20849.1"
"700","Q8WUE5"
"701","P47813"
"702","O00629"
"703","Q9BUH8"
"704","Q96LT9"
"705","P10696.1"
"706","P50591"
"707","A0A024R1H3"
"708","A0A0S2Z3G4.1"
"709","P00750"
"710","Q8NEQ5"
"711","O75473.1"
"712","Q7Z7K6"
"713","Q9UNH6"
"714","Q8N668"
"715","Q9UBP6"
"716","Q05315"
"717","Q96N21"
"718","P00387"
"719","Q8IY31"
"720","O00622"
"721","P55103"
"722","B4DWI9"
"723","P18440"
"724","P52789"
"725","Q9UJW3"
"726","Q8TBN0"
"727","B4E0I2"
"728","A0A140VJX3"
"729","O95169"
"730","Q9UBX1"
"731","Q5SQT9.1"
"732","P49642"
"733","P27701"
"734","C9JXX5"
"735","P20160"
"736","P51878"
"737","P21757"
"738","Q9NX08"
"739","Q6JVE6"
"740","P51636"
"741","Q86YW5"
"742","Q9NX55"
"743","A0A024RAY2"
"744","P16410"
"745","Q99706"
"746","P43378"
"747","O75381"
"748","A0A0K0K1K1"
"749","Q9BUP3.1"
"750","Q9H204"
"751","Q08117"
"752","B4DQ03"
"753","Q8TD46"
"754","Q15768.1"
"755","Q03591"
"756","Q9BW71"
"757","A8K9Q8"
"758","A0A024R6F4"
"759","A0A024RCX5"
"760","P29279"
"761","P15941"
"762","P42684"
"763","P23677"
"764","Q15691.1"
"765","B4DXD3"
"766","Q96PU8"
"767","Q9NVV0"
"768","Q5W041"
"769","Q9H6D8"
"770","Q9UPW8"
"771","P42127"
"772","L7RTG7"
"773","A0A024R8E7"
"774","P63096"
"775","A0A0S2A4T3"
"776","Q9H2U9"
"777","Q9H0W7"
"778","Q9H3D4"
"779","P16333"
"780","A0A087WZX2"
"781","O95396"
"782","P62942"
"783","Q16633"
"784","A5PKW4"
"785","Q9BX46"
"786","Q8N5Y8"
"787","Q549M8"
"788","Q9BZL3"
"789","A6NC05"
"790","A0A024R6U9"
"791","Q9UBQ6"
"792","P31949"
"793","P49069"
"794","P13598.1"
"795","A0A0S2Z3D0"
"796","P15941.1"
"797","Q5TCU3"
"798","P42684.1"
"799","Q13489"
"800","O43921.2"
"801","A0A140VJT7"
"802","A0A087WZW1"
"803","A0A024R240"
"804","P48307"
"805","Q9NYS0"
"806","P12268"
"807","Q96DF8"
"808","O14796"
"809","Q9H0N5"
"810","Q9UHB6"
"811","P10523"
"812","Q9Y2W7"
"813","P15814"
"814","Q14002"
"815","Q8IWE4"
"816","A0A0S2Z478.1"
"817","Q9P121.2"
"818","Q5HYK3"
"819","Q07325"
"820","Q9Y258"
"821","Q6UVW9"
"822","P07360.1"
"823","P53384"
"824","Q06609"
"825","Q9UBM4"
"826","P05162"
"827","A0A024R5H3"
"828","F8W6G9"
"829","P01189"
"830","O43469"
"831","Q50LG9"
"832","Q969M7"
"833","Q8N5L8"
"834","A0A024R8F1"
"835","Q58EY4"
"836","A0A087X1E4"
"837","P09237.1"
"838","O60493"
"839","Q13642"
"840","Q5VWK5"
"841","P61647"
"842","Q8IYB1"
"843","L7RRS0"
"844","Q96B02"
"845","P26715"
"846","P60763"
"847","P16471.1"
"848","P15907"
"849","P01138"
"850","B4DVP5"
"851","Q6UX71.1"
"852","A0A024RAV5.1"
"853","Q9NQ38"
"854","Q96P66.1"
"855","P11182"
"856","B3KR97"
"857","E5KSD5"
"858","Q86U03"
"859","Q92562"
"860","B7Z4W4"
"861","P41161"
"862","A0A087X1G1"
"863","Q15742"
"864","A0A0C4DGW8"
"865","Q59ER8"
"866","Q14596"
"867","Q9NXJ5"
"868","Q86UU9"
"869","O75575"
"870","O60942"
"871","A0A0B4J202"
"872","Q8IW41.1"
"873","Q5SGD2"
"874","Q7Z3D4"
"875","A0A140VJI3"
"876","Q9NXH8"
"877","Q96B67"
"878","P11177"
"879","M0R366"
"880","A0A024RBW9"
"881","P47929.1"
"882","Q9H3U1.1"
"883","J3KPS0"
"884","Q9HCU8"
"885","Q10567"
"886","Q96IZ0"
"887","F8VSL7"
"888","Q9NVF7"
"889","A0A0C4DFZ2"
"890","Q16877"
"891","P27986.1"
"892","P0DP42"
"893","Q9HBV2"
"894","Q8N350"
"895","P54315"
"896","Q8TBE7"
"897","Q9NP77"
"898","A0A024R819"
"899","P01589"
"900","Q8TBZ7"
"901","B2RNB2"
"902","A0A024R641"
"903","P35900"
"904","B4DGM0"
"905","A0A024RC45"
"906","Q7Z4L9"
"907","B7Z637"
"908","Q9Y663"
"909","A0A090N8P8"
"910","Q6IQ20"
"911","P56524"
"912","O94811"
"913","Q96C12"
"914","P43359"
"915","Q5XG99"
"916","Q99417"
"917","F8WA39"
"918","Q14449"
"919","Q8WUF8"
"920","B7ZB02"
"921","P02818.1"
"922","O00488"
"923","P02458.1"
"924","P54317.1"
"925","P04626"
"926","Q4V328"
"927","B0YJA4"
"928","O43566"
"929","Q6ZUJ8"
"930","B4DYR6"
"931","Q86U70"
"932","Q86V21"
"933","P12757"
"934","Q15306.1"
"935","A0A0C4DFN2"
"936","Q6QNY0"
"937","B1AKI9"
"938","Q9UNE7.1"
"939","A0A024RA40"
"940","Q8WUP2"
"941","Q9NZU0.1"
"942","Q16206"
"943","A0A0K0K1J1"
"944","A0A024RD91"
"945","B4E3S3.1"
"946","O43502"
"947","Q0Z7S8"
"948","O43557.1"
"949","P48436"
"950","Q9NPB8"
"951","P08069"
"952","O15195"
"953","P41134.1"
"954","P52815"
"955","Q96S19"
"956","O76061"
"957","B3KXY3"
"958","Q6PL45"
"959","Q12866.1"
"960","P49419"
"961","Q9UHV8"
"962","O00206"
"963","P25445.2"
"964","P58658.1"
"965","Q9HB20"
"966","P19623"
"967","A0A0E3SU01"
"968","O43561"
"969","P05937"
"970","O75771"
"971","A0A024R6X0"
"972","Q9H293"
"973","Q147U7"
"974","P35638"
"975","A0A140VJU3"
"976","Q5BQ99.1"
"977","P20711"
"978","O75970"
"979","A0A024R058"
"980","C8C060"
"981","Q9NUI1"
"982","Q9BY79"
"983","Q13427"
"984","Q9H4A5"
"985","P26232"
"986","A0A024QZF2"
"987","Q9BZM5.1"
"988","P05019.1"
"989","A0A0U5J8I0"
"990","A0A0S2Z3G9"
"991","A0A087X1P4"
"992","Q2MKA7"
"993","A6NI79"
"994","P09758.1"
"995","Q16772"
"996","Q96MI6"
"997","B4DUM4"
"998","Q14432"
"999","B2RA57"
"1000","P05090"
