"","x"
"1","A0A087WT64.1"
"2","B8ZZJ6"
"3","Q9BVS5"
"4","Q9Y5E2"
"5","Q8N2G8"
"6","A0A024R6Z7"
"7","A6NGB7"
"8","Q9P0B6"
"9","P55082"
"10","Q4G0W2"
"11","P17676"
"12","Q8IWT1"
"13","A7E2E4"
"14","Q9Y6K8"
"15","Q6UWE3"
"16","Q9NUP9"
"17","Q92609"
"18","P33764"
"19","Q6UWJ8"
"20","E0CX11"
"21","Q9BQ08"
"22","Q9GZV9"
"23","P42680"
"24","Q9BST9"
"25","Q5VZY2"
"26","A0A024R1C1"
"27","Q9Y2Y1"
"28","J3KNJ8.1"
"29","P42701"
"30","A0N0P2"
"31","Q9BV38"
"32","Q8N386"
"33","O75626"
"34","A0A0S2Z4U5"
"35","Q8TBB1"
"36","B3KMR4"
"37","Q9H5P4"
"38","Q12972"
"39","Q07889"
"40","P07766.1"
"41","Q96LB9"
"42","Q9C0J1"
"43","P09917"
"44","O14523"
"45","J3KNE2"
"46","A0A024QZM2"
"47","A0A087WVK1.1"
"48","Q9NQ60"
"49","P20963.1"
"50","O94906.1"
"51","O43791"
"52","Q9NXV2"
"53","P08922"
"54","Q96MP8.1"
"55","A0A0S2Z3W3"
"56","P06576"
"57","O60573"
"58","Q9H114"
"59","Q96JW4"
"60","Q6MZM9"
"61","Q13651.1"
"62","Q5D1E8"
"63","O15173.2"
"64","O75604"
"65","P55285"
"66","Q96CU9"
"67","Q9NZU1"
"68","Q9BWL3"
"69","A1X283"
"70","Q9UJZ1"
"71","P08473"
"72","Q496H8"
"73","Q8N6M8"
"74","O94906"
"75","Q53HC0"
"76","Q9H0C8"
"77","Q86UP6"
"78","H9NIL8.1"
"79","B4DXX8"
"80","P01579"
"81","Q96KN4"
"82","B3KVT0"
"83","P05556.3"
"84","Q96NG3"
"85","O14936"
"86","Q9P2S2"
"87","Q13596"
"88","Q7Z6A9"
"89","Q96LZ2"
"90","P60985"
"91","Q93099"
"92","O15144"
"93","O95741"
"94","Q6IAH1"
"95","Q15018"
"96","Q9NVQ4"
"97","Q9HBK9"
"98","Q9UM21"
"99","A1A4G1"
"100","A0A140VJN8"
"101","P23443.2"
"102","A0A0A8K9B4.1"
"103","Q8N5H3"
"104","Q00978"
"105","P30837"
