"","x"
"1","B3KQL2"
"2","Q92918"
"3","Q9BY76"
"4","H3BQB0"
"5","Q9Y5I4"
"6","Q9BUN8"
"7","P22301.1"
"8","Q6IAP1"
"9","Q13563.1"
"10","P48165"
"11","Q96P31"
"12","Q9NX14"
"13","Q14520"
"14","A0A024RDK3"
"15","Q08ET2.1"
"16","P23141.1"
"17","P43155"
"18","Q14956"
"19","Q92851.2"
"20","Q13151"
"21","B4DX08"
"22","P58499.1"
"23","Q86VX2"
"24","Q92830.1"
